name,sub_category
Anti Allergy,87
Anti Infectives,87
Bones & Jointhealth,87
Cough Cold Flu,87
Digestive Health,87
FirstAid & Sanitization,87
Oral Stores,87
Pain & Fever,87
Pregnancy & Ovulation Kits,87
Respiratory Care,87
Skin Care & Scalp,87
