title,image,price,size,stock,description,item_category
Surf Excel Washing Detergent Powder 1kg,https://media-products.airliftexpress.com/large/577bb8db-da11-423a-8f4b-e11c5da48d04_Surf_Excel_Washing_Detergent_Powder_1kg_.jpg,387,500 gm,54,,8
Surf Excel Detergent Liquid 3in1 500ml,https://media-products.airliftexpress.com/large/393ad9ff-b74a-439c-898a-3ec61154266c_surf.png,226,500 ml,34,,8
Surf Excel Washing Detergent Powder 2kg,https://media-products.airliftexpress.com/large/fb37a721-4ebb-4918-b185-436b321abcbe_Surf_Excel_Washing_Detergent_Powder_2kg_.jpg,713,2 kg,23,,8
Surf Excel Matic Washing Detergent Powder Top Load 1kg,https://media-products.airliftexpress.com/large/9998f7cc-81b7-4ed3-9df8-3653f1b17cd9_woo.jpg,412,1 kg,43,,8
Surf Excel Washing Detergent Powder 1kg,https://media-products.airliftexpress.com/large/577bb8db-da11-423a-8f4b-e11c5da48d04_Surf_Excel_Washing_Detergent_Powder_1kg_.jpg,387,3 kg,23,,8
Surf Excel Washing Detergent Powder 1kg,https://media-products.airliftexpress.com/large/577bb8db-da11-423a-8f4b-e11c5da48d04_Surf_Excel_Washing_Detergent_Powder_1kg_.jpg,387,1 kg,12,,8
Surf Excel Washing Detergent Powder 1kg,https://media-products.airliftexpress.com/large/577bb8db-da11-423a-8f4b-e11c5da48d04_Surf_Excel_Washing_Detergent_Powder_1kg_.jpg,387,4.5 kg,43,,8
Surf Excel Detergent Liquid 3in1 1L,https://media-products.airliftexpress.com/large/7c993184-78f6-4125-92c1-5e7b68669d75_surf.png,454,1 L,32,,8
