title,image,price,size,stock,description,item_category
Fair & Lovely Max Fairness Face Cream For Man,https://media-products.airliftexpress.com/large/03c6d44f-310f-4a2c-a156-7ffa56f1f62c_download%20%2828%29.jpg,182,1 pc,43,"Fair & Lovely Max Fairness Face Cream For Man  is your personalized must-add hygiene product to your grooming kit. Fair & Lovely Max Fairness Face Cream For Man apart from providing you with a smooth and clear facial skin, gives you a perfect shaved appearance. Add it to your cart now and have it delivered to your doorsteps via AirLift Express",3
Fair & Lovely Multi Vitamin 70ml,https://media-products.airliftexpress.com/large/90095c7b-9451-4f25-b132-a10aa9a17b31_woo.jpg,295,25 gm,23,"Fair & Lovely Multi Vitamin provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Fair & Lovely Multi Vitamin delivered to your doorsteps via AirLift Express by adding it to your cart now.",3
Fair & Lovely Multi Vitamin 70ml,https://media-products.airliftexpress.com/large/90095c7b-9451-4f25-b132-a10aa9a17b31_woo.jpg,295,70 ml,54,"Fair & Lovely Multi Vitamin provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Fair & Lovely Multi Vitamin delivered to your doorsteps via AirLift Express by adding it to your cart now.",3
Fair & Lovely Multi Vitamin 70ml,https://media-products.airliftexpress.com/large/90095c7b-9451-4f25-b132-a10aa9a17b31_woo.jpg,295,50 gm,23,"Fair & Lovely Multi Vitamin provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Fair & Lovely Multi Vitamin delivered to your doorsteps via AirLift Express by adding it to your cart now.",3
Fair & Lovely Crystal Bright Beauty Cream 25gm,https://media-products.airliftexpress.com/large/a2696d4f-c8b8-4a9c-98b8-a83b838aa000_woo.jpg,250,25 gm,55,"Fair & Lovely Crystal Bright Beauty Cream provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Fair & Lovely Crystal Bright Beauty Cream delivered to your doorsteps via AirLift Express by adding it to your cart now.",3
