title,image,price,size,stock,description,item_category
Pond's Bright Beauty Facewash 50gm,https://media-products.airliftexpress.com/large/c699b450-e315-4687-a809-0bc87d804f37_Pond%27s_Bright_Beauty_Facewash_50gm.jpg,169,100 gm,43,"Ponds White Beauty Facewash provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Ponds White Beauty Facewash delivered to your doorsteps via AirLift Express by adding it to your cart now.",6
Pond's Germ Protect Antibacterial Face Wash 100gm,https://media-products.airliftexpress.com/large/b313297a-11bd-4863-88fb-067b91b27343_khfkahdkj.png,340,100 gm,23,"emoves 99% germs and helps target pimples at the root cause with lock + clear technology. Proven to visibly reduce piples, while giving you a glowing skin that's worry free from germs. Wet your face createlather, gently massage, thn rinse off.",6
Pond's Bright Beauty Day Cream 50gm,https://media-products.airliftexpress.com/large/48ed5ea4-98dc-4fa2-bc32-e0981ac83471_12357_S1-8901030826313_800x.jpg,299,50 gm,54,,6
Pond's Honey Lotion 100ml,https://media-products.airliftexpress.com/large/480538c3-399c-49cd-9875-c2f4011662ca_woo.jpg,189,100 ml,34,"Ponds Honey Lotion infused with the natural organic ingredients gives you the perfect skin moisturizing. It makes your dry skin soft, supple and youth-like. It gets absorbed into the layers of your skin to give you baby-like softness. Add Ponds Honey Lotion to your cart now and have it delivered to your doorsteps via AirLift Express",6
Pond's Tone Up Milk Cream 50gm,https://media-products.airliftexpress.com/large/e22101d7-9073-4218-b156-c9c8bd81d451_woo.jpg,298,50 gm,12,"Ponds Tone UP Milk Cream provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Ponds Tone UP Milk Cream delivered to your doorsteps via AirLift Express by adding it to your cart now.",6
Pond's Bright Beauty Facewash 50gm,https://media-products.airliftexpress.com/large/c699b450-e315-4687-a809-0bc87d804f37_Pond%27s_Bright_Beauty_Facewash_50gm.jpg,169,50 gm,43,"Ponds White Beauty Facewash provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Ponds White Beauty Facewash delivered to your doorsteps via AirLift Express by adding it to your cart now.",6
Pond's Honey & Almond Lotion 50ml,https://media-products.airliftexpress.com/large/ee8b2648-ae96-406c-aa60-9dfe55660890_6baf7a6856f5a61b941f77ae8f805365.jpg,95,50 ml,32,"Ponds Honey & Almond Lotion provides a complete hydration of your facial skin to give you the best skincare experience. It gives you a healthy looking, refresing and revitalized skin. Have Ponds Honey & Almond Lotion  delivered to your doorsteps via AirLift Express by adding it to your cart now.",6
