title,image,price,size,stock,description,item_category
Lux Velvet Glow 70gm,https://media-products.airliftexpress.com/large/a57d9bca-8bcc-4836-83ec-d40d9242c692_Lux%20Velvet%20Touch%2070g.jpeg,50,110 gm,32,,5
Lux Fresh Splash 140gm,https://media-products.airliftexpress.com/large/9115fe3f-05a2-4c6d-8f03-5dad8ad005f5_Lux%20Fresh%20Splash%20140gm%20.jpeg,80,140 gm,43,,5
Lux Velvet Glow 70gm,https://media-products.airliftexpress.com/large/a57d9bca-8bcc-4836-83ec-d40d9242c692_Lux%20Velvet%20Touch%2070g.jpeg,50,70 gm,54,,5
Lux Magical Spell Body Wash 220ml,https://media-products.airliftexpress.com/large/a1075d14-cf41-4a0a-b2ca-ecc78108aa33_6221155046611.jpg,255,220 ml,12,,5
Lux Velvet Glow 70gm,https://media-products.airliftexpress.com/large/a57d9bca-8bcc-4836-83ec-d40d9242c692_Lux%20Velvet%20Touch%2070g.jpeg,50,128 gm,68,,5
Lux Purple Lotus 140gm,https://media-products.airliftexpress.com/large/63449d65-7764-4d23-80a6-ad3d8aae63d2_Lux%20Purple%20Lotus%20140gm.jpeg,80,140 gm,54,,5
Lux Rose Glow Soap 100gm,https://media-products.airliftexpress.com/large/573cd2b7-258d-442d-aa6d-8fb7414e57d0_lux.jpg,63,100 gm,34,,5
Lux Velvet Touch Jasmine & Almond Oil 3 In 1 Pack,https://media-products.airliftexpress.com/large/6584a251-91f0-48c2-8115-d45f0b788ce2_3r43wer.png,237,1 Pack (140gm x 3),65,,5
