name,image,general_category
Wall's,https://www.airliftexpress.com/assets/img/logo.svg,1
Unilever,https://www.airliftexpress.com/assets/img/logo.svg,1
Reckitt,https://www.airliftexpress.com/assets/img/logo.svg,1
PepsiCo,https://www.airliftexpress.com/assets/img/logo.svg,1
National Foods,https://www.airliftexpress.com/assets/img/logo.svg,1
Kurkure,https://www.airliftexpress.com/assets/img/logo.svg,1
LU CBL,https://www.airliftexpress.com/assets/img/logo.svg,1
WBM,https://www.airliftexpress.com/assets/img/logo.svg,1
Shield,https://www.airliftexpress.com/assets/img/logo.svg,1
