name,image,general_category
Bath & Soap,https://www.airliftexpress.com/assets/img/logo.svg,12
Feminine Care,https://www.airliftexpress.com/assets/img/logo.svg,12
Hair Care,https://www.airliftexpress.com/assets/img/logo.svg,12
Men's Care,https://www.airliftexpress.com/assets/img/logo.svg,12
Oral Care,https://www.airliftexpress.com/assets/img/logo.svg,12
OTC Medicines,https://www.airliftexpress.com/assets/img/logo.svg,12
Personal Care,https://www.airliftexpress.com/assets/img/logo.svg,12
Sexual Wellness,https://www.airliftexpress.com/assets/img/logo.svg,12
Skin Care,https://www.airliftexpress.com/assets/img/logo.svg,12
