name,sub_category
AAAtemp,88
Anti Fungal,88
Anti Maleria,88
Anti Viral,88
Antibiotics,88
Anxiety & Depression,88
Bleeding Conditons,88
Bones & Joints,88
Cancer & Auto Immune,88
Diabetes,88
Digestive Health,88
Eye & Ear Care,88
Hair Care,88
Heart BP Cholesterol,88
Hormonal Regulation,88
Miscellaneous,88
Neuro,88
Oral Care,88
Pain Muscle Relaxant,88
Piles,88
Respiratory Care,88
Skin Care,88
Steriods,88
Urology,88
Vaccines,88
Weight Reduction,88
