name,image,general_category
Canned & BottledGoods,https://www.airliftexpress.com/assets/img/logo.svg,6
Noodles & Pasta,https://www.airliftexpress.com/assets/img/logo.svg,6
Oil & Ghee,https://www.airliftexpress.com/assets/img/logo.svg,6
Pickles & Chutneys,https://www.airliftexpress.com/assets/img/logo.svg,6
"Rice, Pulses & Flour",https://www.airliftexpress.com/assets/img/logo.svg,6
Sauces & Seasonings,https://www.airliftexpress.com/assets/img/logo.svg,6
"Spices, Salt & Sugar",https://www.airliftexpress.com/assets/img/logo.svg,6
