name,image,general_category
Batteries & Chargers,https://www.airliftexpress.com/assets/img/logo.svg,15
Bulbs & Lights,https://www.airliftexpress.com/assets/img/logo.svg,15
"Drives, Storage Media",https://www.airliftexpress.com/assets/img/logo.svg,15
Extension,https://www.airliftexpress.com/assets/img/logo.svg,15
Laptop Accessories,https://www.airliftexpress.com/assets/img/logo.svg,15
Mobile Accessories,https://www.airliftexpress.com/assets/img/logo.svg,15
Network Components,https://www.airliftexpress.com/assets/img/logo.svg,15
Smartwatches & Bands,https://www.airliftexpress.com/assets/img/logo.svg,15
